"","X","iso2c","year","country","GDPpc","Rural","CO2","HCexpend","Water","Sanitation","Unemploym","HCexpendpc","FemUnempl","FemSchool","LifeExpect","DPT","Measles","Population","Incidence","Incidence2","DDif","lGDPpc","lRural","lCO2","lHCexpend","lWater","lSanitation","lUnemploym","lHCexpendpc","lFemUnempl","lFemSchool","lLifeExpect","lDPT","lMeasles"
"938",938,"VN",2001,"Vietnam",2778.37843467297,75.063,0.777653438648707,5.58616286020514,79,56.1,2.79999995231628,22.3403394912331,3.29999995231628,101.71647,73.8797073170732,96,98,78621000,0.07,0.07,1,7.92962273962065,4.31832776093375,-0.251474305655132,1.72029262216514,4.36944785246702,4.02713581252865,1.02961940015126,3.10639399008929,1.19392245402282,4.62218923684518,4.30243819372429,4.56434819146784,4.58496747867057
"939",939,"VN",2002,"Vietnam",2919.91222102622,74.489,0.890209457785958,5.14144502154837,80.5,57.8,2.09999990463257,21.8358517617932,2.29999995231628,98.27881,74.102243902439,75,96,79538700,0.06,0.07,1,7.97930883351809,4.31065146347732,-0.116298498118517,1.63733417255367,4.38825718442452,4.05698877567833,0.741937299316314,3.08355319518943,0.832909102203052,4.58780843931756,4.30544581392775,4.31748811353631,4.56434819146784
"940",940,"VN",2003,"Vietnam",3085.29587641118,73.908,0.978858284742831,5.22615354515094,82.1,59.5,2.29999995231628,24.7991672309631,2.70000004768372,95.88642,74.299243902439,99,93,80468400,0.06,0.06,1,8.03440283981554,4.30282107649291,-0.0213684020442345,1.65367554767541,4.40793801645838,4.08597631255158,0.832909102203052,3.21081007321049,0.99325179067092,4.56316436602292,4.30810077539251,4.59511985013459,4.53259949315326
"941",941,"VN",2004,"Vietnam",3278.32663006588,73.317,1.11188345201301,5.53461604597746,83.6,61.3,2.09999990463257,29.8780500827533,2.40000009536743,94.94867,74.473756097561,96,97,81437700,0.06,0.06,1,8.09508839743487,4.29479250560412,0.10605538099469,1.71102219536741,4.42604352009066,4.11577984294217,0.741937299316314,3.39712409986055,0.875468777090328,4.55333642978789,4.31044679617804,4.56434819146784,4.57471097850338
"942",942,"VN",2005,"Vietnam",3484.84984660096,72.719,1.1887090971982,5.85582767623399,85,63,2.09999990463257,36.4782123480766,2.29999995231628,94.94406,74.6278536585366,95,95,82393500,0.05,0.06,1,8.15618023664258,4.28660269839953,0.172867926040018,1.76743734935342,4.44265125649032,4.14313472639153,0.741937299316314,3.59671516038909,0.832909102203052,4.55328787605968,4.31251381096203,4.55387689160054,4.55387689160054
"943",943,"VN",2006,"Vietnam",3686.87607001821,72.112,1.22977182432514,6.49878308388058,86.5,64.7,2.29999995231628,46.1661419711006,2.5,97.10679,74.7686341463415,94,93,83313000,0.04,0.05,1,8.21253478498092,4.27822046594829,0.206828643496715,1.87161494150961,4.46014441393783,4.16976120150686,0.832909102203052,3.83224667164778,0.916290731874155,4.57581130076181,4.31439846744283,4.54329478227,4.53259949315326
"944",944,"VN",2007,"Vietnam",3907.14473582484,71.496,1.34944011655037,7.08118901999187,88,66.4,2.29999995231628,58.1000860079457,2.5,99.27032,74.9021951219512,92,83,84221100,0.04,0.04,1,8.27056213962738,4.26964150407909,0.299689777945489,1.95744183428199,4.47733681447821,4.19569705648239,0.832909102203052,4.06216714420007,0.916290731874155,4.59784663412822,4.3161831974629,4.52178857704904,4.4188406077966
"945",945,"VN",2008,"Vietnam",4084.65090670629,70.872,1.4939002588041,5.99619947439394,89.4,68.1,2.40000009536743,62.518382145272,2.59999990463257,98.3655761422025,75.0350731707317,93,92,85122300,0.04,0.04,1,8.31499154628777,4.26087543310973,0.401390323306698,1.79112584759792,4.49312068217947,4.22097721315547,0.875468777090328,4.13546062782357,0.955511408347655,4.53800075118586,4.31795564650216,4.53259949315326,4.52178857704904
"946",946,"VN",2009,"Vietnam",4259.9603981758,70.242,1.6281011101424,6.51774485660808,90.9,69.9,2.29999995231628,71.8136544074538,2.59999990463257,101.68685,75.170756097561,96,97,86025000,0.03,0.04,1,8.35701514301734,4.25194642272559,0.487414372618867,1.87452843521964,4.50976000118343,4.24706564923976,0.832909102203052,4.27407463077939,0.955511408347655,4.62189799282607,4.31976227364033,4.56434819146784,4.57471097850338
"947",947,"VN",2010,"Vietnam",4486.26107279494,69.608,1.72811843671814,6.9289321495027,92.3,71.6,2.29999995231628,82.8125682461231,2.5,102.37571,75.3117317073171,93,98,86932500,0.03,0.03,1,8.40877491062148,4.24287950326372,0.547033207800563,1.93570571034773,4.52504414150881,4.2710950739666,0.832909102203052,4.41657984028433,0.916290731874155,4.62864947743612,4.32163592223632,4.53259949315326,4.58496747867057
"948",948,"VN",2011,"Vietnam",4716.9762001074,68.971,0.0555274383273283,6.79633683417099,93.7,73.3,2,93.48559543473,2.20000004768372,102.70404,75.4579024390244,95,96,87840000,0.03,0.03,1,8.45892323771448,4.23368612639565,-0.43706211661411,1.91638376617342,4.54009818924438,4.29456060889261,0.693147180559945,4.53780736490465,0.788457382038688,4.63185145403811,4.32357491715836,4.55387689160054,4.56434819146784
"949",949,"VN",2012,"Vietnam",4912.32220596109,68.332,0.299335663809305,6.56913485144461,95,75,2,102.498543435986,2.20000004768372,105.07629,75.6066829268293,97,96,88772900,0.03,0.03,1,8.49950206335179,4.22437817808481,-0.691928672126215,1.88238214215824,4.55387689160054,4.31748811353631,0.693147180559945,4.62984858809687,0.788457382038688,4.65468665776086,4.3255446777816,4.57471097850338,4.56434819146784
"950",950,"ZA",2000,"South Africa",9519.05672988685,43.109,8.37751152272727,8.29059797420382,86.8,65.1,26.7000007629395,245.646873985364,29,103.53169,55.8368780487805,73,72,4.4e+07,2.95,3.17942358455762,1.31315535526546,9.16105103988129,3.76373179201586,2.12555091606584,2.11512209853663,4.4636066216663,4.17592454921452,3.28466359398072,5.50389503305176,3.36729582998647,4.63987774941568,4.02243454802261,4.29045944114839,4.27666611901606
"951",951,"ZA",2001,"South Africa",9581.34071719758,42.632,8.07716373228452,8.58291329783929,87.6,66,25.3999996185303,223.428461445219,27.8999996185303,103.47951,54.5708048780488,71,69,44909738,2.78,2.95,1,9.16757281077596,3.75260514499448,2.08904078767781,2.14977340107016,4.47278099794235,4.18965474202643,3.234749159006,5.40909127979697,3.32862667515457,4.63937362209208,3.99949903054967,4.26267987704132,4.23410650459726
"952",952,"ZA",2002,"South Africa",9737.83781184295,42.102,7.5899628621056,8.50211060008232,88.3,66.8,27.2000007629395,204.511145324021,31.3999996185303,104.37916,53.4411951219512,70,65,45808736,2.59,2.78,1,9.18377438142249,3.74009524549821,2.02682669839235,2.1403144385655,4.48074010760991,4.2017030805426,3.3032170013512,5.32062247435973,3.44680788076549,4.6480300386642,3.97858189278729,4.24849524204936,4.17438726989564
